Date,Daily PnL,Cumulative PnL
2018-01-01,0.004943589842554719,0.004943589842554719
2018-01-02,-0.008906305312754936,-0.003962715470200218
2018-01-03,0.004075734198931369,0.00011301872873115126
2018-01-04,0.0023174533578018686,0.00243047208653302
2018-01-05,0.005007066526350745,0.007437538612883765
2018-01-06,0.0,0.007437538612883765
2018-01-07,0.0,0.007437538612883765
2018-01-08,0.006367703514371659,0.013805242127255424
2018-01-09,4.812764725814489e-05,0.013853369774513569
2018-01-10,-0.001269714934055699,0.01258365484045787
2018-01-11,-0.001129933174798925,0.011453721665658945
2018-01-12,0.004681680997648652,0.016135402663307596
2018-01-13,0.0,0.016135402663307596
2018-01-14,0.0,0.016135402663307596
2018-01-15,0.008725632357862723,0.02486103502117032
2018-01-16,-0.0025558428563712265,0.022305192164799093
2018-01-17,-0.0036217495967315605,0.018683442568067532
2018-01-18,0.007310159569080099,0.02599360213714763
2018-01-19,0.0038838918440580183,0.02987749398120565
2018-01-20,0.0,0.02987749398120565
2018-01-21,0.0,0.02987749398120565
2018-01-22,0.00023275147729862056,0.03011024545850427
2018-01-23,0.005198460069701816,0.035308705528206086
2018-01-24,-0.003472682026093077,0.03183602350211301
2018-01-25,-0.008283970330946078,0.02355205317116693
2018-01-26,0.0,0.02355205317116693
2018-01-27,0.0,0.02355205317116693
2018-01-28,0.0,0.02355205317116693
2018-01-29,0.007486867916873807,0.03103892108804074
2018-01-30,-0.005516390899320434,0.025522530188720305
2018-01-31,0.00012561283383949462,0.0256481430225598
2018-02-01,0.011361168188965487,0.037009311211525286
2018-02-02,0.012941065298834875,0.04995037651036016
2018-02-03,0.0,0.04995037651036016
2018-02-04,0.0,0.04995037651036016
2018-02-05,0.011404809085256318,0.06135518559561648
2018-02-06,-0.010403926266850494,0.050951259328765985
2018-02-07,-0.009529421523208681,0.041421837805557304
2018-02-08,-0.0035379059864130147,0.03788393181914429
2018-02-09,-0.020880486303125667,0.017003445516018623
2018-02-10,0.0,0.017003445516018623
2018-02-11,0.0,0.017003445516018623
2018-02-12,-0.017175989958977955,-0.00017254444295933258
2018-02-13,0.0,-0.00017254444295933258
2018-02-14,0.0008612057403893925,0.0006886612974300599
2018-02-15,-0.000491059783009562,0.0001976015144204979
2018-02-16,-0.007315917313489573,-0.007118315799069075
2018-02-17,0.0,-0.007118315799069075
2018-02-18,0.0,-0.007118315799069075
2018-02-19,-0.003951144799362205,-0.01106946059843128
2018-02-20,-0.0015037732167766382,-0.012573233815207918
2018-02-21,-0.004343128657700812,-0.01691636247290873
2018-02-22,-0.007271679727050895,-0.024188042199959625
2018-02-23,0.005229446372485014,-0.01895859582747461
2018-02-24,0.0,-0.01895859582747461
2018-02-25,0.0,-0.01895859582747461
2018-02-26,0.004265961159142018,-0.014692634668332594
2018-02-27,-0.0073246586835936656,-0.02201729335192626
2018-02-28,-0.008157550314979223,-0.030174843666905482
2018-03-01,-0.0010363424684139977,-0.03121118613531948
2018-03-02,0.0,-0.03121118613531948
2018-03-03,0.0,-0.03121118613531948
2018-03-04,0.0,-0.03121118613531948
2018-03-05,0.008164823321624048,-0.02304636281369543
2018-03-06,0.020707536524391945,-0.002338826289303486
2018-03-07,0.0008141052772765445,-0.0015247210120269417
2018-03-08,-0.009670388714828726,-0.011195109726855668
2018-03-09,0.0006719100654088983,-0.01052319966144677
2018-03-10,0.0,-0.01052319966144677
2018-03-11,0.0,-0.01052319966144677
2018-03-12,0.0022080099026776656,-0.008315189758769104
2018-03-13,-0.005861294168901576,-0.01417648392767068
2018-03-14,0.0010809958699165012,-0.013095488057754179
2018-03-15,-0.003581287821938006,-0.016676775879692185
2018-03-16,0.007324861701517471,-0.009351914178174714
2018-03-17,0.0,-0.009351914178174714
2018-03-18,0.0,-0.009351914178174714
2018-03-19,-0.004375586078019467,-0.01372750025619418
2018-03-20,-0.009805306890953935,-0.023532807147148116
2018-03-21,0.01072957369226013,-0.012803233454887986
2018-03-22,0.006264218433696289,-0.006539015021191696
2018-03-23,0.00620091094787667,-0.00033810407331502645
2018-03-24,0.0,-0.00033810407331502645
2018-03-25,0.0,-0.00033810407331502645
2018-03-26,0.013272830333878272,0.012934726260563245
2018-03-27,-0.0011104219926159065,0.011824304267947339
2018-03-28,0.007512055868756473,0.019336360136703812
2018-03-29,0.0,0.019336360136703812
2018-03-30,0.0,0.019336360136703812
2018-03-31,0.0,0.019336360136703812
2018-04-01,0.0,0.019336360136703812
2018-04-02,-0.013944671796480734,0.0053916883402230775
2018-04-03,0.0037403105071837084,0.009131998847406786
2018-04-04,0.010451360167453405,0.01958335901486019
2018-04-05,-0.008880197504503862,0.01070316151035633
2018-04-06,-0.006643487869165576,0.004059673641190753
2018-04-07,0.0,0.004059673641190753
2018-04-08,0.0,0.004059673641190753
2018-04-09,-0.0024894793924309377,0.0015701942487598153
2018-04-10,-0.0046312391067325764,-0.003061044857972761
2018-04-11,0.005641026449650366,0.0025799815916776048
2018-04-12,-0.007530598528677435,-0.00495061693699983
2018-04-13,0.0017011767009746936,-0.003249440236025136
2018-04-14,0.0,-0.003249440236025136
2018-04-15,0.0,-0.003249440236025136
2018-04-16,-0.004238492084087775,-0.007487932320112911
2018-04-17,0.007182454167002139,-0.000305478153110772
2018-04-18,-0.001849184595901776,-0.002154662749012548
2018-04-19,-0.006461641540999485,-0.008616304290012033
2018-04-20,-0.0016395542378732086,-0.010255858527885242
2018-04-21,0.0,-0.010255858527885242
2018-04-22,0.0,-0.010255858527885242
2018-04-23,-0.001664897020205558,-0.0119207555480908
2018-04-24,0.000414472502840213,-0.011506283045250587
2018-04-25,0.003551003853618284,-0.007955279191632303
2018-04-26,0.0014001500215505835,-0.006555129170081719
2018-04-27,0.005306722430423516,-0.0012484067396582033
2018-04-28,0.0,-0.0012484067396582033
2018-04-29,0.0,-0.0012484067396582033
2018-04-30,-0.011867542752548199,-0.013115949492206402
2018-05-01,0.0,-0.013115949492206402
2018-05-02,0.0004870175253742781,-0.012628931966832124
2018-05-03,-0.0006534989639894739,-0.013282430930821598
2018-05-04,0.0005756474705072012,-0.012706783460314397
2018-05-05,0.0,-0.012706783460314397
2018-05-06,0.0,-0.012706783460314397
2018-05-07,0.008749741731798655,-0.003957041728515742
2018-05-08,-0.0005303176802520237,-0.004487359408767766
2018-05-09,0.00016153778139937902,-0.004325821627368387
2018-05-10,-0.0010683022786865948,-0.005394123906054982
2018-05-11,0.0005231566477715832,-0.0048709672582833985
2018-05-12,0.0,-0.0048709672582833985
2018-05-13,0.0,-0.0048709672582833985
2018-05-14,0.003168046526341395,-0.0017029207319420037
2018-05-15,0.010040449373587168,0.008337528641645164
2018-05-16,0.0012532296368336082,0.009590758278478773
2018-05-17,-0.0019260781112060421,0.0076646801672727305
2018-05-18,0.0030078015466017405,0.010672481713874471
2018-05-19,0.0,0.010672481713874471
2018-05-20,0.0,0.010672481713874471
2018-05-21,-0.006018582806329942,0.004653898907544529
2018-05-22,-0.002698873514753952,0.001955025392790577
2018-05-23,0.006276743101517046,0.008231768494307623
2018-05-24,-0.0036108683592404045,0.0046209001350672185
2018-05-25,0.009269340098148837,0.013890240233216056
2018-05-26,0.0,0.013890240233216056
2018-05-27,0.0,0.013890240233216056
2018-05-28,-0.0050047468684777385,0.008885493364738317
